item_code,item_name,uom,item_group,description
VT260041,Que đè lưỡi gỗ Tanaphar,Que,Vật tư tiêu hao,Hãng SX: Tanaphar/ Việt Nam | Nước SX: Việt Nam
HC18099,03002721122 GGT G2-400T COBAS C/INTEGRA,test,Hóa chất,
VT230073,3MTM ComplyTM Steam Indicator Tape,Cuộn,Vật tư tiêu hao,Hãng SX: 3M/Canada
HC0171,ACID WASH (2X1.8L),Hộp,Hóa chất,
HC18117,ACID WASH SOLUTION,Hộp,Hóa chất,
NT0303,Adaptor máy đo huyết áp Omron/Philippines,Chiếc,Vật tư tiêu hao,Hãng SX: Omron/Philippines
HC18017,AFP CS GEN2.1 ELEC,Hộp,Hóa chất,
HC0070,AFP CS GEN2.1 ELEC,Hộp,Hóa chất,
HC18016,AFP RP GEN1.1ELEC,test,Hóa chất,
HC0069,AFP RP GEN1.1ELEC,test,Hóa chất,
HC0157,ALB-T 100T COBAS C INT.,test,Hóa chất,
HC18103,ALB-T 100T COBAS C INT.,test,Hóa chất,
2020HC15,Albumin,Hộp,Hóa chất,
2021HC08,Albumin,Hộp,Hóa chất,
HC18141,Albumin,Hộp,Hóa chất,
HC0002,Albumin,Hộp,Hóa chất,
NT0242,ALFASEPT HANDGEL,Lít,Vật tư tiêu hao,Hãng SX: Việt Nam
NT0040,Alfasept Handrub ( Chai 500ml),Lít,Vật tư tiêu hao,Hãng SX: Việt Nam
HC18093,ALP IFCC G2 S 200T COBAS C,test,Hóa chất,
HC0147,ALP IFCC G2 S 200T COBAS C,test,Hóa chất,
HC0005,Alpha-Amylase,Hộp,Hóa chất,
2020HC17,ALT,Hộp,Hóa chất,
HC18143,ALT,Hộp,Hóa chất,
HC0004,ALT,Hộp,Hóa chất,
2021HC10,ALT,Hộp,Hóa chất,
HC0148,"ALTL, 500T COBAS C/INTEGRA",test,Hóa chất,
HC18094,"ALTL, 500T COBAS C/INTEGRA",test,Hóa chất,
HC0149,AMY-P 200T COBAS C/INT,test,Hóa chất,
HC18095,AMY-P 200T COBAS C/INT,test,Hóa chất,
2020HC85,Anti- B,Lọ,Hóa chất,
HC0199,Anti- B,Lọ,Hóa chất,
HC18211,Anti- B,Lọ,Hóa chất,
2021HC154,Anti- B,Lọ,Hóa chất,
HC18213,Anti- D,Lọ,Hóa chất,
2021HC155,Anti- D (Anti-Rh),Lọ,Hóa chất,
2020HC86,Anti- HCV,test,Hóa chất,
HC18212,Anti- HCV,test,Hóa chất,
2020HC87,Anti-D (Anti-Rh),Lọ,Hóa chất,
HC0092,ANTI-HAV IGM ELEC,test,Hóa chất,
HC18039,ANTI-HAV IGM ELEC,test,Hóa chất,
HC0102,ANTI-HBC,test,Hóa chất,
HC0104,ANTI-HBC IGM ELEC,test,Hóa chất,
HC18050,ANTI-HBC IGM ELEC,test,Hóa chất,
HC0108,ANTI-HBE ELEC,test,Hóa chất,
HC18054,ANTI-HBE ELEC,test,Hóa chất,
HC0100,ANTI-HBS ELEC,test,Hóa chất,
HC18042,Anti-HCV G2 cobas e 100,test,Hóa chất,
HC0096,Anti-HCV G2 cobas e 100,test,Hóa chất,
HC0095,Anti-HCV G2 cobas e 200,test,Hóa chất,
2021HC152,Anti - A,Lọ,Hóa chất,
HC18209,Anti - A,Lọ,Hóa chất,
HC0197,Anti - A,Lọ,Hóa chất,
2020HC83,Anti - A,Lọ,Hóa chất,
2020HC84,Anti - AB,Lọ,Hóa chất,
HC18210,Anti - AB,Lọ,Hóa chất,
2021HC153,Anti - AB,Lọ,Hóa chất,
HC0198,Anti - AB,Lọ,Hóa chất,
2020HC102,Anti HCV,test,Hóa chất,
HC0202,Anti HCV,test,Hóa chất,
2021HC163,Anti HCV,test,Hóa chất,
HC18228,Anti HCV,test,Hóa chất,
VT312,Áo phẫu thuật,Cái,Vật tư tiêu hao,Hãng SX: Bảo Thạch/Việt Nam
VT230101,Áo phẫu thuật,Chiếc,Vật tư tiêu hao,Hãng SX: Memco/Việt Nam - Việt Nam
